course_title,platform,tags,level,rating,url
Write A Feature Length Screenplay For Film Or Television,Coursera,Drama  Comedy  peering  screenwriting  film  Document Review  dialogue  creative writing  Writing  unix shells arts-and-humanities music-and-art,Beginner,4.8,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television
Business Strategy: Business Model Canvas Analysis with Miro,Coursera,Finance  business plan  persona (user experience)  business model canvas  Planning  Business  project  Product Development  presentation  Strategy business business-strategy,Beginner,4.8,https://www.coursera.org/learn/canvas-analysis-miro
Silicon Thin Film Solar Cells,Coursera,chemistry  physics  Solar Energy  film  lambda calculus  Electrical Engineering  electronics  energy  silicon  thinning physical-science-and-engineering electrical-engineering,Advanced,4.1,https://www.coursera.org/learn/silicon-thin-film-solar-cells
Finance for Managers,Coursera,accounts receivable  dupont analysis  analysis  Accounting  Finance  Operations Management  Leadership and Management  balance sheet  inventory  Financial Analysis business finance,Intermediate,4.8,https://www.coursera.org/learn/operational-finance
Retrieve Data using Single-Table SQL Queries,Coursera,Data Analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  Databases  web page  numbers (spreadsheet)  SQL information-technology data-management,Beginner,4.6,https://www.coursera.org/learn/single-table-sql-queries
Building Test Automation Framework using Selenium and TestNG,Coursera,maintenance  test case  test automation  screenshot  project  helper class  selenium  reusability  debugging  php computer-science software-development,Beginner,4.7,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng
Doing Business in China Capstone,Coursera,marketing plan  Planning  Marketing  consumption (economics)  wait (system call)  business plan  strategic planning  audience  project  Writing business business-strategy,Advanced,3.3,https://www.coursera.org/learn/doing-business-in-china-capstone
"Programming Languages, Part A",Coursera,inference  ml (programming language)  higher-order function  functional programming  type inference  pattern matching  euler's totient function  language  ?-recursive function  Computer Programming computer-science software-development,Intermediate,4.9,https://www.coursera.org/learn/programming-languages
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,Coursera,Planning  Peer Review  fundraising  strategic planning  resource  concept testing  leadership  measurement  performance  evaluation business leadership-and-management,Intermediate,4.3,https://www.coursera.org/learn/nonprofit-gov-2
Business Russian Communication. Part 3,Coursera,Russian  market (economics)  tax exemption  cooperation  Communication  Taxes  adjective  h.e.a.r.  listening  c dynamic memory allocation language-learning other-languages,Intermediate,0.0,https://www.coursera.org/learn/business-russian-communication-3
